program_id,year,complete,admitted,enrolled
ACC,2021,193,141,89
ACC,2022,184,134,88
ACC,2023,200,144,88
ACC,2024,200,142,85
ACC,2025,248,168,99
ACC,2026,249,171,107
MGT,2021,110,82,61
MGT,2022,103,75,50
MGT,2023,105,77,54
MGT,2024,124,89,60
MGT,2025,115,87,62
MGT,2026,118,86,61
BIS,2021,153,126,89
BIS,2022,164,127,90
BIS,2023,172,142,92
BIS,2024,186,150,105
BIS,2025,186,149,110
BIS,2026,176,143,98
CSE,2021,140,92,65
CSE,2022,137,89,62
CSE,2023,140,95,69
CSE,2024,144,97,74
CSE,2025,145,90,67
CSE,2026,130,87,67
EEE,2021,171,132,87
EEE,2022,191,146,103
EEE,2023,201,146,100
EEE,2024,205,151,107
EEE,2025,198,155,108
EEE,2026,198,149,96
MEC,2021,127,81,56
MEC,2022,136,88,62
MEC,2023,128,84,52
MEC,2024,158,97,65
MEC,2025,151,95,67
MEC,2026,154,99,66
IND,2021,139,108,60
IND,2022,158,114,66
IND,2023,146,112,68
IND,2024,167,131,76
IND,2025,160,122,69
IND,2026,188,140,87
EDU,2021,188,153,95
EDU,2022,193,156,97
EDU,2023,209,174,110
EDU,2024,194,162,104
EDU,2025,204,176,113
EDU,2026,222,184,117
ENG,2021,166,141,83
ENG,2022,160,127,79
ENG,2023,173,139,85
ENG,2024,166,140,84
ENG,2025,183,146,91
ENG,2026,186,146,88
MTH,2021,175,131,80
MTH,2022,200,140,85
MTH,2023,190,144,92
MTH,2024,210,157,102
MTH,2025,214,157,96
MTH,2026,259,180,117
PAD,2021,166,102,73
PAD,2022,169,108,75
PAD,2023,159,98,75
PAD,2024,186,115,84
PAD,2025,193,124,86
PAD,2026,188,117,89
PSY,2021,130,103,60
PSY,2022,129,99,62
PSY,2023,150,121,79
PSY,2024,153,120,71
PSY,2025,147,115,71
PSY,2026,172,129,86
