username,role,faculty_id,program_id,bureau
rektor,rektor,,,
dekan_fbe,dekan,FBE,,
dekan_fst,dekan,FST,,
dekan_foe,dekan,FOE,,
dekan_fadm,dekan,FADM,,
dekan_fss,dekan,FSS,,
kaprodi_acc,kaprodi,FBE,ACC,
kaprodi_mgt,kaprodi,FBE,MGT,
kaprodi_bis,kaprodi,FBE,BIS,
kaprodi_cse,kaprodi,FST,CSE,
kaprodi_eee,kaprodi,FST,EEE,
kaprodi_mec,kaprodi,FST,MEC,
kaprodi_ind,kaprodi,FST,IND,
kaprodi_edu,kaprodi,FOE,EDU,
kaprodi_eng,kaprodi,FOE,ENG,
kaprodi_mth,kaprodi,FOE,MTH,
kaprodi_pad,kaprodi,FADM,PAD,
kaprodi_psy,kaprodi,FSS,PSY,
kabag_akademik,kabag,,,akademik
kabag_admisi,kabag,,,admisi
kabag_keuangan,kabag,,,keuangan
kabag_sdm,kabag,,,sdm
