program_id,year,male_pct,female_pct,region_jkt_pct,region_jabar_pct,region_other_pct,region_intl_pct,fee_paying_pct,assisted_pct
ACC,2021,38,62,24,22,52,2,71,29
ACC,2022,51,49,33,12,50,5,62,38
ACC,2023,53,47,27,20,47,6,56,44
ACC,2024,39,61,22,20,52,6,55,45
ACC,2025,57,43,37,25,31,7,75,25
ACC,2026,47,53,31,14,51,4,72,28
MGT,2021,50,50,30,12,52,6,55,45
MGT,2022,45,55,34,18,40,8,56,44
MGT,2023,56,44,38,17,37,8,77,23
MGT,2024,49,51,37,24,36,3,60,40
MGT,2025,47,53,29,26,41,4,63,37
MGT,2026,55,45,34,22,36,8,62,38
BIS,2021,58,42,32,21,42,5,71,29
BIS,2022,61,39,30,13,53,4,64,36
BIS,2023,57,43,38,26,29,7,74,26
BIS,2024,61,39,32,15,46,7,64,36
BIS,2025,47,53,22,25,51,2,72,28
BIS,2026,53,47,27,24,46,3,69,31
CSE,2021,50,50,27,13,57,3,77,23
CSE,2022,48,52,38,17,36,9,61,39
CSE,2023,59,41,28,18,45,9,68,32
CSE,2024,56,44,32,13,50,5,64,36
CSE,2025,57,43,23,21,50,6,66,34
CSE,2026,46,54,25,12,60,3,68,32
EEE,2021,52,48,38,23,30,9,61,39
EEE,2022,51,49,36,24,37,3,71,29
EEE,2023,54,46,27,26,43,4,57,43
EEE,2024,53,47,34,21,37,8,71,29
EEE,2025,60,40,40,21,32,7,59,41
EEE,2026,62,38,23,26,48,3,73,27
MEC,2021,43,57,31,19,42,8,78,22
MEC,2022,53,47,36,20,35,9,66,34
MEC,2023,41,59,35,19,39,7,60,40
MEC,2024,43,57,29,24,45,2,70,30
MEC,2025,58,42,36,14,46,4,66,34
MEC,2026,58,42,33,22,41,4,61,39
IND,2021,58,42,33,18,44,5,67,33
IND,2022,59,41,29,12,51,8,56,44
IND,2023,50,50,36,24,34,6,73,27
IND,2024,42,58,22,22,52,4,59,41
IND,2025,54,46,30,22,45,3,56,44
IND,2026,57,43,28,14,49,9,78,22
EDU,2021,52,48,34,25,33,8,56,44
EDU,2022,53,47,26,23,45,6,74,26
EDU,2023,57,43,36,12,47,5,63,37
EDU,2024,51,49,23,22,46,9,60,40
EDU,2025,47,53,23,23,48,6,56,44
EDU,2026,60,40,34,15,46,5,66,34
ENG,2021,60,40,23,22,53,2,63,37
ENG,2022,41,59,33,23,41,3,76,24
ENG,2023,60,40,27,25,44,4,61,39
ENG,2024,40,60,27,13,56,4,62,38
ENG,2025,45,55,29,19,44,8,71,29
ENG,2026,52,48,31,25,38,6,56,44
MTH,2021,40,60,26,17,48,9,69,31
MTH,2022,45,55,27,15,51,7,65,35
MTH,2023,47,53,38,16,38,8,57,43
MTH,2024,45,55,33,19,39,9,73,27
MTH,2025,39,61,23,19,56,2,76,24
MTH,2026,47,53,35,22,34,9,57,43
PAD,2021,55,45,25,21,46,8,69,31
PAD,2022,43,57,34,14,47,5,57,43
PAD,2023,52,48,36,22,34,8,59,41
PAD,2024,55,45,25,17,55,3,73,27
PAD,2025,60,40,26,20,49,5,69,31
PAD,2026,57,43,24,14,58,4,68,32
PSY,2021,57,43,35,14,45,6,57,43
PSY,2022,62,38,40,16,36,8,61,39
PSY,2023,53,47,35,16,40,9,56,44
PSY,2024,56,44,36,13,49,2,71,29
PSY,2025,41,59,39,20,33,8,55,45
PSY,2026,43,57,39,20,36,5,76,24
