program_id,grad_year,grad_count,avg_gpa,ftic_pct,transfer_pct,avg_years
ACC,2021,41,3.29,78,22,4.29
ACC,2022,54,3.4,79,21,4.24
ACC,2023,56,3.34,81,19,4.29
ACC,2024,67,3.35,82,18,4.28
ACC,2025,65,3.26,80,20,4.31
ACC,2026,65,3.43,78,22,4.31
MGT,2021,43,3.36,84,16,4.33
MGT,2022,40,3.22,88,12,4.35
MGT,2023,39,3.29,84,16,4.36
MGT,2024,43,3.24,91,9,4.3
MGT,2025,40,3.37,87,13,4.4
MGT,2026,40,3.17,85,15,4.33
BIS,2021,63,3.36,88,12,4.21
BIS,2022,66,3.21,92,8,4.21
BIS,2023,69,3.29,89,11,4.23
BIS,2024,68,3.33,92,8,4.24
BIS,2025,65,3.36,85,15,4.22
BIS,2026,67,3.26,92,8,4.24
CSE,2021,45,3.64,79,21,4.24
CSE,2022,46,3.43,79,21,4.24
CSE,2023,43,3.45,79,21,4.23
CSE,2024,49,3.54,80,20,4.22
CSE,2025,45,3.61,81,19,4.22
CSE,2026,50,3.42,83,17,4.24
EEE,2021,55,3.29,77,23,4.22
EEE,2022,57,3.22,76,24,4.21
EEE,2023,58,3.23,74,26,4.28
EEE,2024,59,3.38,76,24,4.22
EEE,2025,74,3.24,77,23,4.23
EEE,2026,76,3.14,78,22,4.26
MEC,2021,32,3.37,78,22,4.28
MEC,2022,36,3.19,71,29,4.28
MEC,2023,35,3.17,77,23,4.34
MEC,2024,39,3.2,70,30,4.31
MEC,2025,43,3.3,73,27,4.3
MEC,2026,38,3.33,74,26,4.37
IND,2021,47,3.37,83,17,4.21
IND,2022,39,3.33,81,19,4.21
IND,2023,44,3.25,88,12,4.23
IND,2024,42,3.23,88,12,4.21
IND,2025,48,3.31,82,18,4.21
IND,2026,49,3.37,86,14,4.2
EDU,2021,65,3.16,78,22,4.2
EDU,2022,75,3.3,80,20,4.13
EDU,2023,88,3.21,80,20,4.16
EDU,2024,78,3.21,75,25,4.18
EDU,2025,78,3.34,75,25,4.15
EDU,2026,90,3.36,73,27,4.13
ENG,2021,58,3.22,88,12,4.17
ENG,2022,56,3.34,87,13,4.14
ENG,2023,66,3.16,86,14,4.17
ENG,2024,60,3.15,85,15,4.17
ENG,2025,59,3.15,81,19,4.19
ENG,2026,62,3.27,84,16,4.16
MTH,2021,51,3.3,69,31,4.24
MTH,2022,53,3.27,68,32,4.23
MTH,2023,58,3.22,69,31,4.21
MTH,2024,63,3.25,72,28,4.22
MTH,2025,62,3.34,74,26,4.21
MTH,2026,70,3.18,71,29,4.21
PAD,2021,52,3.33,75,25,4.37
PAD,2022,56,3.33,81,19,4.3
PAD,2023,54,3.25,79,21,4.35
PAD,2024,55,3.16,73,27,4.35
PAD,2025,52,3.32,75,25,4.31
PAD,2026,53,3.26,81,19,4.32
PSY,2021,49,3.29,84,16,4.27
PSY,2022,51,3.25,92,8,4.29
PSY,2023,51,3.26,86,14,4.29
PSY,2024,51,3.44,89,11,4.35
PSY,2025,48,3.42,84,16,4.31
PSY,2026,59,3.38,84,16,4.27
