dosen_id,program_id,tahun,kategori_tunjangan,ikut_pengembangan_karir,status_perlindungan,ada_rencana_peningkatan
D0001,ACC,2021,Fungsional,False,BPJS Kesehatan saja,False
D0001,ACC,2022,Fungsional,False,BPJS Kesehatan saja,False
D0001,ACC,2023,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan,True
D0001,ACC,2024,Sertifikasi Dosen,True,BPJS Kesehatan saja,True
D0001,ACC,2025,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan,True
D0001,ACC,2026,Sertifikasi Dosen,True,BPJS Kesehatan saja,True
D0002,ACC,2021,Tidak Ada,False,BPJS Kesehatan saja,False
D0002,ACC,2022,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan,False
D0002,ACC,2023,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan,False
D0002,ACC,2024,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan,True
D0002,ACC,2025,Fungsional,False,BPJS Kesehatan saja,True
D0002,ACC,2026,Fungsional,True,Tidak Ada,True
D0003,ACC,2021,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan,True
D0003,ACC,2022,Tidak Ada,True,Tidak Ada,True
D0003,ACC,2023,Kinerja,False,BPJS Kesehatan saja,True
D0003,ACC,2024,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan,True
D0003,ACC,2025,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan,True
D0003,ACC,2026,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan,True
D0004,ACC,2021,Kinerja,True,BPJS Kesehatan saja,False
D0004,ACC,2022,Kinerja,False,BPJS Kesehatan saja,False
D0004,ACC,2023,Sertifikasi Dosen,False,Tidak Ada,False
D0004,ACC,2024,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan,True
D0004,ACC,2025,Tidak Ada,False,BPJS Kesehatan & Ketenagakerjaan,False
D0004,ACC,2026,Fungsional,True,BPJS Kesehatan saja,False
D0005,ACC,2021,Fungsional,False,BPJS Kesehatan saja,False
D0005,ACC,2022,Kinerja,False,BPJS Kesehatan saja,False
D0005,ACC,2023,Sertifikasi Dosen,False,BPJS Kesehatan saja,False
D0005,ACC,2024,Sertifikasi Dosen,False,Tidak Ada,True
D0005,ACC,2025,Fungsional,True,BPJS Kesehatan saja,False
D0005,ACC,2026,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan,False
D0006,ACC,2021,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan,False
D0006,ACC,2022,Fungsional,True,BPJS Kesehatan saja,False
D0006,ACC,2023,Fungsional,True,BPJS Kesehatan saja,False
D0006,ACC,2024,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan,True
D0006,ACC,2025,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan,False
D0006,ACC,2026,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan,True
D0007,ACC,2021,Tidak Ada,False,BPJS Kesehatan saja,True
D0007,ACC,2022,Fungsional,True,BPJS Kesehatan saja,True
D0007,ACC,2023,Tidak Ada,False,BPJS Kesehatan & Ketenagakerjaan,True
D0007,ACC,2024,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan,True
D0007,ACC,2025,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan,True
D0007,ACC,2026,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan,True
D0008,MGT,2021,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan,True
D0008,MGT,2022,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan,True
D0008,MGT,2023,Sertifikasi Dosen,True,BPJS Kesehatan saja,True
D0008,MGT,2024,Fungsional,True,BPJS Kesehatan saja,True
D0008,MGT,2025,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan,True
D0008,MGT,2026,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan,True
D0009,MGT,2021,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan,True
D0009,MGT,2022,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan,True
D0009,MGT,2023,Kinerja,True,BPJS Kesehatan saja,True
D0009,MGT,2024,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan,True
D0009,MGT,2025,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan,True
D0009,MGT,2026,Fungsional,True,BPJS Kesehatan saja,True
D0010,MGT,2021,Tidak Ada,True,BPJS Kesehatan saja,True
D0010,MGT,2022,Tidak Ada,False,BPJS Kesehatan saja,True
D0010,MGT,2023,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan,True
D0010,MGT,2024,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan,False
D0010,MGT,2025,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan,True
D0010,MGT,2026,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan,True
D0011,MGT,2021,Tidak Ada,True,Tidak Ada,True
D0011,MGT,2022,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan,True
D0011,MGT,2023,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan,True
D0011,MGT,2024,Tidak Ada,True,BPJS Kesehatan saja,False
D0011,MGT,2025,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan,True
D0011,MGT,2026,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan,False
D0012,MGT,2021,Sertifikasi Dosen,False,BPJS Kesehatan saja,False
D0012,MGT,2022,Tidak Ada,False,BPJS Kesehatan saja,False
D0012,MGT,2023,Sertifikasi Dosen,True,BPJS Kesehatan saja,False
D0012,MGT,2024,Fungsional,True,BPJS Kesehatan saja,False
D0012,MGT,2025,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan,True
D0012,MGT,2026,Tidak Ada,False,BPJS Kesehatan & Ketenagakerjaan,True
D0013,MGT,2021,Fungsional,False,BPJS Kesehatan saja,False
D0013,MGT,2022,Sertifikasi Dosen,False,BPJS Kesehatan saja,False
D0013,MGT,2023,Sertifikasi Dosen,True,BPJS Kesehatan saja,True
D0013,MGT,2024,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan,False
D0013,MGT,2025,Fungsional,False,BPJS Kesehatan saja,True
D0013,MGT,2026,Tidak Ada,False,BPJS Kesehatan saja,True
D0014,BIS,2021,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan,False
D0014,BIS,2022,Tidak Ada,False,BPJS Kesehatan saja,False
D0014,BIS,2023,Kinerja,False,Tidak Ada,False
D0014,BIS,2024,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan,False
