program_id,tahun_lulus,lulus_tepat_waktu,lulus_terlambat,lulus_total,mahasiswa_aktif,do_count,standar_masa_studi_semester
ACC,2021,29,12,41,279,19,8
ACC,2022,41,13,54,307,22,8
ACC,2023,40,16,56,319,22,8
ACC,2024,48,19,67,326,21,8
ACC,2025,45,20,65,337,22,8
ACC,2026,45,20,65,357,26,8
MGT,2021,29,14,43,210,15,8
MGT,2022,26,14,40,202,13,8
MGT,2023,25,14,39,203,13,8
MGT,2024,30,13,43,211,15,8
MGT,2025,24,16,40,215,16,8
MGT,2026,27,13,40,220,14,8
BIS,2021,50,13,63,325,22,8
BIS,2022,52,14,66,330,23,8
BIS,2023,53,16,69,333,26,8
BIS,2024,52,16,68,343,25,8
BIS,2025,51,14,65,360,27,8
BIS,2026,51,16,67,366,26,8
CSE,2021,34,11,45,225,17,8
CSE,2022,35,11,46,225,15,8
CSE,2023,33,10,43,233,17,8
CSE,2024,38,11,49,247,18,8
CSE,2025,35,10,45,247,18,8
CSE,2026,38,12,50,251,17,8
EEE,2021,43,12,55,283,22,8
EEE,2022,45,12,57,309,25,8
EEE,2023,42,16,58,327,26,8
EEE,2024,46,13,59,350,25,8
EEE,2025,57,17,74,374,29,8
EEE,2026,56,20,76,367,26,8
MEC,2021,23,9,32,186,16,8
MEC,2022,26,10,36,200,17,8
MEC,2023,23,12,35,199,16,8
MEC,2024,27,12,39,213,18,8
MEC,2025,30,13,43,223,19,8
MEC,2026,24,14,38,227,19,8
IND,2021,37,10,47,212,17,8
IND,2022,31,8,39,214,17,8
IND,2023,34,10,44,226,20,8
IND,2024,33,9,42,238,20,8
IND,2025,38,10,48,245,18,8
IND,2026,39,10,49,266,21,8
EDU,2021,52,13,65,359,21,8
EDU,2022,65,10,75,370,20,8
EDU,2023,74,14,88,385,18,8
EDU,2024,64,14,78,383,20,8
EDU,2025,66,12,78,398,20,8
EDU,2026,78,12,90,417,22,8
ENG,2021,48,10,58,291,22,8
ENG,2022,48,8,56,290,21,8
ENG,2023,55,11,66,298,24,8
ENG,2024,50,10,60,292,23,8
ENG,2025,48,11,59,300,24,8
ENG,2026,52,10,62,305,24,8
MTH,2021,39,12,51,272,18,8
MTH,2022,41,12,53,288,20,8
MTH,2023,46,12,58,307,20,8
MTH,2024,49,14,63,331,22,8
MTH,2025,49,13,62,342,21,8
MTH,2026,55,15,70,376,25,8
PAD,2021,33,19,52,275,21,8
PAD,2022,39,17,56,277,22,8
PAD,2023,35,19,54,274,22,8
PAD,2024,36,19,55,282,23,8
PAD,2025,36,16,52,290,23,8
PAD,2026,36,17,53,304,24,8
PSY,2021,36,13,49,248,12,8
PSY,2022,36,15,51,249,14,8
PSY,2023,36,15,51,263,15,8
PSY,2024,33,18,51,268,15,8
PSY,2025,33,15,48,273,15,8
PSY,2026,43,16,59,296,19,8
