program_id,tahun_lulus,jumlah_lulusan,jumlah_responden,response_rate_pct,bekerja,wirausaha,lanjut_studi,belum_bekerja,waktu_tunggu_rata2_bulan
ACC,2021,41,36,87.8,19,4,4,9,4.0
ACC,2022,54,43,79.6,24,4,4,11,3.1
ACC,2023,56,32,57.1,17,1,2,12,2.7
ACC,2024,67,49,73.1,29,5,4,11,7.4
ACC,2025,65,51,78.5,28,2,5,16,6.5
ACC,2026,65,39,60.0,24,3,4,8,7.0
MGT,2021,43,32,74.4,21,3,3,5,2.3
MGT,2022,40,22,55.0,15,2,1,4,2.1
MGT,2023,39,22,56.4,15,1,2,4,3.0
MGT,2024,43,25,58.1,16,2,3,4,5.7
MGT,2025,40,22,55.0,12,1,2,7,3.3
MGT,2026,40,29,72.5,15,2,4,8,3.6
BIS,2021,63,50,79.4,33,6,4,7,6.2
BIS,2022,66,59,89.4,38,6,6,9,4.6
BIS,2023,69,40,58.0,23,4,5,8,6.3
BIS,2024,68,49,72.1,34,3,4,8,5.6
BIS,2025,65,57,87.7,37,6,6,8,6.3
BIS,2026,67,49,73.1,27,3,6,13,4.0
CSE,2021,45,27,60.0,15,3,2,7,5.5
CSE,2022,46,27,58.7,16,3,3,5,7.3
CSE,2023,43,33,76.7,18,3,3,9,3.1
CSE,2024,49,36,73.5,19,2,2,13,2.4
CSE,2025,45,39,86.7,22,4,5,8,7.2
CSE,2026,50,36,72.0,19,3,4,10,2.5
EEE,2021,55,32,58.2,17,1,3,11,5.3
EEE,2022,57,38,66.7,21,3,5,9,5.6
EEE,2023,58,36,62.1,24,4,3,5,5.4
EEE,2024,59,39,66.1,21,4,3,11,6.7
EEE,2025,74,60,81.1,41,5,6,8,3.8
EEE,2026,76,56,73.7,30,5,4,17,2.3
MEC,2021,32,18,56.2,11,1,2,4,4.3
MEC,2022,36,23,63.9,15,2,2,4,7.2
MEC,2023,35,20,57.1,12,2,2,4,3.6
MEC,2024,39,30,76.9,19,2,3,6,6.0
MEC,2025,43,24,55.8,15,2,1,6,7.1
MEC,2026,38,21,55.3,15,2,2,2,6.8
IND,2021,47,33,70.2,18,3,4,8,7.0
IND,2022,39,33,84.6,17,2,5,9,3.1
IND,2023,44,29,65.9,16,3,3,7,3.3
IND,2024,42,24,57.1,12,1,2,9,5.4
IND,2025,48,38,79.2,21,2,4,11,6.5
IND,2026,49,40,81.6,28,4,3,5,6.7
EDU,2021,65,43,66.2,23,2,3,15,7.5
EDU,2022,75,58,77.3,36,5,6,11,4.0
EDU,2023,88,51,58.0,27,2,5,17,6.1
EDU,2024,78,71,91.0,44,6,6,15,5.6
EDU,2025,78,63,80.8,40,3,5,15,7.1
EDU,2026,90,50,55.6,28,4,5,13,6.3
ENG,2021,58,36,62.1,25,3,4,4,2.3
ENG,2022,56,50,89.3,26,5,5,14,6.9
ENG,2023,66,49,74.2,32,4,4,9,4.6
ENG,2024,60,41,68.3,27,4,4,6,5.4
ENG,2025,59,39,66.1,25,4,5,5,3.1
ENG,2026,62,45,72.6,26,3,5,11,4.7
MTH,2021,51,44,86.3,27,4,2,11,4.5
MTH,2022,53,38,71.7,27,2,3,6,3.8
MTH,2023,58,39,67.2,21,4,4,10,6.1
MTH,2024,63,57,90.5,39,5,8,5,3.2
MTH,2025,62,47,75.8,28,2,6,11,4.2
MTH,2026,70,43,61.4,26,5,3,9,6.8
PAD,2021,52,42,80.8,29,2,3,8,5.0
PAD,2022,56,44,78.6,28,2,4,10,4.8
PAD,2023,54,41,75.9,23,3,3,12,6.6
PAD,2024,55,31,56.4,20,2,3,6,5.8
PAD,2025,52,46,88.5,24,3,5,14,3.9
PAD,2026,53,31,58.5,17,2,2,10,6.0
PSY,2021,49,32,65.3,19,3,4,6,4.2
PSY,2022,51,36,70.6,23,2,2,9,3.4
PSY,2023,51,38,74.5,21,4,3,10,6.0
PSY,2024,51,44,86.3,24,2,5,13,4.4
PSY,2025,48,27,56.2,18,3,3,3,3.7
PSY,2026,59,45,76.3,28,4,5,8,5.7
