program_id,tahun,mahasiswa_aktif,ikut_kompetisi,menang_prestasi_nasional,menang_prestasi_internasional,ikut_pertukaran_pelajar,ikut_riset_dosen,ikut_organisasi,ikut_pengabdian,ikut_magang_bersertifikat
ACC,2021,279,15,4,1,2,17,60,37,28
ACC,2022,307,19,3,1,5,24,79,28,50
ACC,2023,319,49,11,3,4,29,33,31,40
ACC,2024,326,35,11,0,8,23,70,48,27
ACC,2025,337,53,12,1,5,21,93,32,58
ACC,2026,357,62,12,2,9,26,93,27,49
MGT,2021,210,23,7,0,2,16,25,12,38
MGT,2022,202,25,8,2,1,8,41,20,20
MGT,2023,203,28,6,2,2,19,29,24,32
MGT,2024,211,36,7,2,2,9,50,25,39
MGT,2025,215,24,4,1,6,17,24,29,37
MGT,2026,220,36,7,3,1,15,48,15,39
BIS,2021,325,17,5,1,7,25,87,27,35
BIS,2022,330,35,12,1,2,24,47,40,53
BIS,2023,333,40,7,3,3,25,85,43,60
BIS,2024,343,22,5,0,5,24,59,29,42
BIS,2025,360,30,9,1,8,35,43,16,38
BIS,2026,366,20,7,1,9,27,93,27,69
CSE,2021,225,28,6,2,2,20,53,29,27
CSE,2022,225,25,5,2,2,17,47,26,24
CSE,2023,233,13,3,1,3,14,54,17,25
CSE,2024,247,30,6,1,2,11,45,18,36
CSE,2025,247,21,7,1,7,12,35,24,23
CSE,2026,251,22,6,0,5,19,27,21,15
EEE,2021,283,17,4,0,7,26,54,39,50
EEE,2022,309,33,6,0,8,19,35,44,20
EEE,2023,327,19,2,1,2,29,75,19,36
EEE,2024,350,53,13,4,4,21,95,45,26
EEE,2025,374,53,8,2,3,24,85,40,68
EEE,2026,367,29,9,1,7,29,80,33,42
MEC,2021,186,12,3,1,2,8,25,11,15
MEC,2022,200,18,6,1,4,10,30,18,40
MEC,2023,199,15,5,1,4,16,55,28,38
MEC,2024,213,37,11,2,6,15,34,13,19
MEC,2025,223,22,7,1,6,19,61,28,13
MEC,2026,227,32,11,2,6,9,49,29,31
IND,2021,212,37,8,2,2,7,26,31,28
IND,2022,214,16,5,0,5,7,33,20,28
IND,2023,226,39,5,3,6,9,25,18,34
IND,2024,238,33,5,1,4,13,42,19,44
IND,2025,245,42,14,1,5,23,68,35,47
IND,2026,266,29,4,2,7,13,38,15,36
EDU,2021,359,28,10,2,6,24,60,39,55
EDU,2022,370,52,6,1,3,26,88,19,39
EDU,2023,385,45,8,3,2,21,58,24,39
EDU,2024,383,35,9,2,8,24,81,43,47
EDU,2025,398,56,6,3,4,38,60,39,75
EDU,2026,417,50,9,4,11,36,66,47,55
ENG,2021,291,41,13,3,6,18,79,36,57
ENG,2022,290,16,4,1,3,23,44,22,44
ENG,2023,298,39,12,2,7,24,56,28,48
ENG,2024,292,47,15,1,8,11,36,33,32
ENG,2025,300,39,11,0,7,18,49,32,37
ENG,2026,305,30,7,1,8,17,41,16,48
MTH,2021,272,17,4,0,3,25,57,29,49
MTH,2022,288,29,7,2,2,11,50,26,56
MTH,2023,307,51,10,2,3,26,33,39,59
MTH,2024,331,31,7,2,6,17,34,41,64
MTH,2025,342,58,17,2,8,28,69,16,27
MTH,2026,376,60,19,2,11,13,51,43,31
PAD,2021,275,31,4,2,2,20,74,35,40
PAD,2022,277,16,5,0,2,15,37,20,40
PAD,2023,274,41,9,1,7,25,74,24,48
PAD,2024,282,22,6,2,8,21,35,15,52
PAD,2025,290,43,13,0,2,23,61,14,41
PAD,2026,304,41,13,0,6,17,34,26,41
PSY,2021,248,39,8,3,2,20,64,25,28
PSY,2022,249,24,7,2,6,18,44,17,21
PSY,2023,263,38,5,2,6,23,30,23,26
PSY,2024,268,30,3,0,7,26,35,13,26
PSY,2025,273,33,6,2,5,22,45,38,42
PSY,2026,296,36,5,0,4,26,44,34,22
