kerjasama_id,nama_mitra,jenis_mitra,program_terkait_id,tahun_mulai,tahun_berakhir,status,ada_hilirisasi,jenis_luaran,nilai_kontrak_rupiah,deskripsi_dampak
1,PT Telkom Indonesia,Industri,BIS,2026,,Aktif,True,Kebijakan mitra,840000000,Kolaborasi riset terapan dan magang bersertifikat
2,SMAN 1 Bekasi,Sekolah,EEE,2024,,Aktif,False,,100000000,Program pengabdian dan pelatihan bersama
3,Universitas Indonesia,Lembaga,PSY,2021,,Aktif,True,Modul pelatihan,475000000,Kolaborasi riset terapan dan magang bersertifikat
4,PT Astra International,Industri,ACC,2021,,Aktif,False,,165000000,Program pengabdian dan pelatihan bersama
5,Google Indonesia,Industri,ACC,2024,2026,Selesai,False,,240000000,Program pengabdian dan pelatihan bersama
6,PT Pertamina,Industri,MGT,2026,,Aktif,True,Produk/Prototipe,35000000,Kolaborasi riset terapan dan magang bersertifikat
7,BRIN,Lembaga,ENG,2022,,Aktif,False,,65000000,Program pengabdian dan pelatihan bersama
8,Dinas Pendidikan Jabar,Pemerintah,EEE,2026,2026,Selesai,True,Kebijakan mitra,235000000,Kolaborasi riset terapan dan magang bersertifikat
9,Universitas Indonesia,Lembaga,EDU,2022,,Aktif,False,,200000000,Program pengabdian dan pelatihan bersama
10,Bank Mandiri,Industri,MGT,2021,,Aktif,False,,650000000,Program pengabdian dan pelatihan bersama
11,PT Telkom Indonesia,Industri,PAD,2023,,Aktif,False,,260000000,Program pengabdian dan pelatihan bersama
12,SMKN 2 Jakarta,Sekolah,BIS,2025,,Aktif,False,,245000000,Program pengabdian dan pelatihan bersama
13,BRIN,Lembaga,ACC,2021,,Aktif,False,,645000000,Program pengabdian dan pelatihan bersama
14,Kemendiktisaintek,Pemerintah,ENG,2024,2026,Selesai,True,Modul pelatihan,395000000,Kolaborasi riset terapan dan magang bersertifikat
15,Dinas Pendidikan Jabar,Pemerintah,PAD,2026,2026,Selesai,True,Lisensi/HKI,105000000,Kolaborasi riset terapan dan magang bersertifikat
16,PT Telkom Indonesia,Industri,BIS,2021,2022,Selesai,False,,305000000,Program pengabdian dan pelatihan bersama
17,PT Pertamina,Industri,PAD,2026,,Aktif,True,Kebijakan mitra,115000000,Kolaborasi riset terapan dan magang bersertifikat
18,Pemkot Bekasi,Pemerintah,PAD,2025,,Aktif,False,,770000000,Program pengabdian dan pelatihan bersama
19,Bank Mandiri,Industri,ENG,2022,,Aktif,True,Modul pelatihan,220000000,Kolaborasi riset terapan dan magang bersertifikat
20,Google Indonesia,Industri,BIS,2024,,Aktif,False,,25000000,Program pengabdian dan pelatihan bersama
21,LIPI Press,Lembaga,PAD,2022,2025,Selesai,False,,545000000,Program pengabdian dan pelatihan bersama
22,Tokopedia,Industri,EEE,2026,2026,Selesai,False,,385000000,Program pengabdian dan pelatihan bersama
23,SMAN 1 Bekasi,Sekolah,PAD,2024,2025,Selesai,False,,585000000,Program pengabdian dan pelatihan bersama
24,Dinas Pendidikan Jabar,Pemerintah,EDU,2023,2025,Selesai,True,Lisensi/HKI,855000000,Kolaborasi riset terapan dan magang bersertifikat
25,SMKN 2 Jakarta,Sekolah,EDU,2021,,Aktif,False,,870000000,Program pengabdian dan pelatihan bersama
26,SMAN 1 Bekasi,Sekolah,MTH,2025,,Aktif,False,,65000000,Program pengabdian dan pelatihan bersama
27,Pemkot Bekasi,Pemerintah,PAD,2026,,Aktif,False,,640000000,Program pengabdian dan pelatihan bersama
28,Tokopedia,Industri,IND,2021,,Aktif,True,Lisensi/HKI,725000000,Kolaborasi riset terapan dan magang bersertifikat
29,LIPI Press,Lembaga,ENG,2021,,Aktif,False,,790000000,Program pengabdian dan pelatihan bersama
30,Google Indonesia,Industri,IND,2021,,Aktif,False,,130000000,Program pengabdian dan pelatihan bersama
