id,dosen_id,program_id,tahun,judul,indeks,jumlah_sitasi
1,D0031,EEE,2021,Publikasi EEE 2021-1,Sinta 1-2,5
2,D0038,EEE,2021,Publikasi EEE 2021-2,Scopus,35
3,D0011,MGT,2021,Publikasi MGT 2021-3,Lainnya,3
4,D0045,MEC,2021,Publikasi MEC 2021-4,Sinta 1-2,4
5,D0049,IND,2021,Publikasi IND 2021-5,Scopus,37
6,D0007,ACC,2021,Publikasi ACC 2021-6,Scopus,20
7,D0019,BIS,2021,Publikasi BIS 2021-7,Sinta 1-2,1
8,D0018,BIS,2021,Publikasi BIS 2021-8,Lainnya,3
9,D0055,EDU,2021,Publikasi EDU 2021-9,WoS,22
10,D0042,MEC,2021,Publikasi MEC 2021-10,Scopus,32
11,D0041,MEC,2021,Publikasi MEC 2021-11,Scopus,31
12,D0034,EEE,2021,Publikasi EEE 2021-12,Sinta 1-2,1
13,D0015,BIS,2021,Publikasi BIS 2021-13,WoS,29
14,D0069,MTH,2021,Publikasi MTH 2021-14,WoS,36
15,D0031,EEE,2021,Publikasi EEE 2021-15,Sinta 1-2,2
16,D0008,MGT,2021,Publikasi MGT 2021-16,Sinta 1-2,3
17,D0084,PSY,2021,Publikasi PSY 2021-17,Lainnya,3
18,D0070,MTH,2021,Publikasi MTH 2021-18,Sinta 1-2,3
19,D0075,PAD,2021,Publikasi PAD 2021-19,Sinta 1-2,2
20,D0051,IND,2021,Publikasi IND 2021-20,Scopus,50
21,D0023,CSE,2021,Publikasi CSE 2021-21,Scopus,40
22,D0051,IND,2021,Publikasi IND 2021-22,Scopus,49
23,D0056,EDU,2021,Publikasi EDU 2021-23,Scopus,41
24,D0014,BIS,2021,Publikasi BIS 2021-24,Lainnya,6
25,D0070,MTH,2022,Publikasi MTH 2022-25,Sinta 1-2,2
26,D0081,PSY,2022,Publikasi PSY 2022-26,Sinta 1-2,3
27,D0031,EEE,2022,Publikasi EEE 2022-27,Scopus,41
28,D0033,EEE,2022,Publikasi EEE 2022-28,Lainnya,0
29,D0072,MTH,2022,Publikasi MTH 2022-29,Sinta 1-2,4
30,D0008,MGT,2022,Publikasi MGT 2022-30,WoS,38
31,D0072,MTH,2022,Publikasi MTH 2022-31,Sinta 1-2,5
32,D0056,EDU,2022,Publikasi EDU 2022-32,Sinta 1-2,4
33,D0077,PAD,2022,Publikasi PAD 2022-33,Scopus,17
34,D0009,MGT,2022,Publikasi MGT 2022-34,Sinta 1-2,5
35,D0068,MTH,2022,Publikasi MTH 2022-35,Sinta 1-2,3
36,D0074,PAD,2022,Publikasi PAD 2022-36,Lainnya,6
37,D0019,BIS,2022,Publikasi BIS 2022-37,Scopus,25
38,D0054,EDU,2022,Publikasi EDU 2022-38,Scopus,53
39,D0029,CSE,2022,Publikasi CSE 2022-39,Sinta 1-2,4
40,D0049,IND,2022,Publikasi IND 2022-40,WoS,13
41,D0056,EDU,2022,Publikasi EDU 2022-41,Scopus,28
42,D0049,IND,2022,Publikasi IND 2022-42,WoS,45
43,D0050,IND,2022,Publikasi IND 2022-43,Sinta 1-2,0
44,D0020,BIS,2022,Publikasi BIS 2022-44,Scopus,45
45,D0044,MEC,2022,Publikasi MEC 2022-45,WoS,22
46,D0072,MTH,2022,Publikasi MTH 2022-46,Scopus,33
47,D0043,MEC,2022,Publikasi MEC 2022-47,Lainnya,1
