kegiatan_id,judul,sdg_terkait,tahun,unit_pelaksana,jumlah_penerima_manfaat,sumber_dana,anggaran_rupiah
1,Program Pengabdian FSS 2021-1,SDG 1,2021,FSS,50,Hibah Eksternal,33000000
2,Program Pengabdian FST 2021-2,SDG 8,2021,FST,677,Mitra Industri,141000000
3,Program Pengabdian GEN 2021-3,SDG 10,2021,GEN,212,Internal,150000000
4,Program Pengabdian FADM 2021-4,SDG 17,2021,FADM,111,Internal,179000000
5,Program Pengabdian FSS 2021-5,SDG 3,2021,FSS,762,Hibah Eksternal,55000000
6,Program Pengabdian GEN 2021-6,SDG 4,2021,GEN,204,Hibah Eksternal,158000000
7,Program Pengabdian FST 2021-7,SDG 8,2021,FST,620,Internal,37000000
8,Program Pengabdian FST 2021-8,SDG 8,2021,FST,215,Hibah Eksternal,27000000
9,Program Pengabdian FOE 2021-9,SDG 1,2021,FOE,684,Hibah Eksternal,96000000
10,Program Pengabdian FADM 2021-10,SDG 4,2021,FADM,345,Mitra Industri,68000000
11,Program Pengabdian GEN 2021-11,SDG 17,2021,GEN,652,Hibah Eksternal,43000000
12,Program Pengabdian GEN 2021-12,SDG 10,2021,GEN,237,Internal,117000000
13,Program Pengabdian GEN 2021-13,SDG 17,2021,GEN,831,Internal,77000000
14,Program Pengabdian FBE 2022-14,SDG 17,2022,FBE,725,Mitra Industri,71000000
15,Program Pengabdian FADM 2022-15,SDG 17,2022,FADM,788,Mitra Industri,145000000
16,Program Pengabdian FSS 2022-16,SDG 4,2022,FSS,828,Hibah Eksternal,16000000
17,Program Pengabdian GEN 2022-17,SDG 1,2022,GEN,593,Hibah Eksternal,84000000
18,Program Pengabdian GEN 2022-18,SDG 17,2022,GEN,391,Hibah Eksternal,163000000
19,Program Pengabdian FSS 2022-19,SDG 4,2022,FSS,707,Mitra Industri,68000000
20,Program Pengabdian FOE 2022-20,SDG 3,2022,FOE,714,Hibah Eksternal,126000000
21,Program Pengabdian FSS 2022-21,SDG 4,2022,FSS,473,Mitra Industri,75000000
22,Program Pengabdian FSS 2022-22,SDG 4,2022,FSS,630,Mitra Industri,110000000
23,Program Pengabdian FBE 2022-23,SDG 17,2022,FBE,112,Hibah Eksternal,42000000
24,Program Pengabdian GEN 2023-24,SDG 3,2023,GEN,736,Mitra Industri,98000000
25,Program Pengabdian FADM 2023-25,SDG 4,2023,FADM,112,Hibah Eksternal,32000000
26,Program Pengabdian FOE 2023-26,SDG 9,2023,FOE,166,Internal,108000000
27,Program Pengabdian FADM 2023-27,SDG 9,2023,FADM,737,Mitra Industri,99000000
28,Program Pengabdian GEN 2023-28,SDG 17,2023,GEN,295,Internal,10000000
29,Program Pengabdian FBE 2023-29,SDG 4,2023,FBE,336,Hibah Eksternal,105000000
30,Program Pengabdian FOE 2023-30,SDG 4,2023,FOE,227,Mitra Industri,120000000
31,Program Pengabdian FADM 2023-31,SDG 17,2023,FADM,790,Mitra Industri,151000000
