id,tahun,sumber,jumlah_rupiah
1,2021,Bisnis Kampus,3477000000
2,2021,Pelatihan & Sertifikasi,2119000000
3,2021,Konsultasi,1486000000
4,2021,Hibah Penelitian,2374000000
5,2021,Kerjasama Industri,2572000000
6,2021,Unit Usaha Kampus,1127000000
7,2022,Bisnis Kampus,4061000000
8,2022,Pelatihan & Sertifikasi,3092000000
9,2022,Konsultasi,1681000000
10,2022,Hibah Penelitian,3291000000
11,2022,Kerjasama Industri,3330000000
12,2022,Unit Usaha Kampus,1338000000
13,2023,Bisnis Kampus,5112000000
14,2023,Pelatihan & Sertifikasi,3362000000
15,2023,Konsultasi,2128000000
16,2023,Hibah Penelitian,3824000000
17,2023,Kerjasama Industri,4331000000
18,2023,Unit Usaha Kampus,1899000000
19,2024,Bisnis Kampus,6870000000
20,2024,Pelatihan & Sertifikasi,4825000000
21,2024,Konsultasi,3027000000
22,2024,Hibah Penelitian,5629000000
23,2024,Kerjasama Industri,4989000000
24,2024,Unit Usaha Kampus,2117000000
25,2025,Bisnis Kampus,7649000000
26,2025,Pelatihan & Sertifikasi,6623000000
27,2025,Konsultasi,3240000000
28,2025,Hibah Penelitian,7283000000
29,2025,Kerjasama Industri,7240000000
30,2025,Unit Usaha Kampus,2221000000
31,2026,Bisnis Kampus,8310000000
32,2026,Pelatihan & Sertifikasi,6521000000
33,2026,Konsultasi,3409000000
34,2026,Hibah Penelitian,8028000000
35,2026,Kerjasama Industri,7026000000
36,2026,Unit Usaha Kampus,3464000000
