iku_no,nama_iku,status_pts,tabel_sumber,formula,satuan,tahun,target,keterangan
1,AEE PT,Wajib,iku1_aee + student_enrollment,lulus_total / (mahasiswa_aktif + lulus_total) x 100,%,2021,18.0,
1,AEE PT,Wajib,iku1_aee + student_enrollment,lulus_total / (mahasiswa_aktif + lulus_total) x 100,%,2022,19.2,
1,AEE PT,Wajib,iku1_aee + student_enrollment,lulus_total / (mahasiswa_aktif + lulus_total) x 100,%,2023,20.4,
1,AEE PT,Wajib,iku1_aee + student_enrollment,lulus_total / (mahasiswa_aktif + lulus_total) x 100,%,2024,21.6,
1,AEE PT,Wajib,iku1_aee + student_enrollment,lulus_total / (mahasiswa_aktif + lulus_total) x 100,%,2025,22.8,
1,AEE PT,Wajib,iku1_aee + student_enrollment,lulus_total / (mahasiswa_aktif + lulus_total) x 100,%,2026,24.0,
2,Lulusan Terserap,Wajib,iku2_tracer_study,(bekerja+wirausaha+lanjut_studi) / jumlah_responden x 100,%,2021,78.0,
2,Lulusan Terserap,Wajib,iku2_tracer_study,(bekerja+wirausaha+lanjut_studi) / jumlah_responden x 100,%,2022,80.0,
2,Lulusan Terserap,Wajib,iku2_tracer_study,(bekerja+wirausaha+lanjut_studi) / jumlah_responden x 100,%,2023,82.0,
2,Lulusan Terserap,Wajib,iku2_tracer_study,(bekerja+wirausaha+lanjut_studi) / jumlah_responden x 100,%,2024,84.0,
2,Lulusan Terserap,Wajib,iku2_tracer_study,(bekerja+wirausaha+lanjut_studi) / jumlah_responden x 100,%,2025,86.0,
2,Lulusan Terserap,Wajib,iku2_tracer_study,(bekerja+wirausaha+lanjut_studi) / jumlah_responden x 100,%,2026,88.0,
3,Aktivitas & Prestasi Mahasiswa,Wajib,iku3_aktivitas_mahasiswa,mahasiswa dengan >=1 aktivitas / mahasiswa_aktif x 100,%,2021,25.0,
3,Aktivitas & Prestasi Mahasiswa,Wajib,iku3_aktivitas_mahasiswa,mahasiswa dengan >=1 aktivitas / mahasiswa_aktif x 100,%,2022,28.0,
3,Aktivitas & Prestasi Mahasiswa,Wajib,iku3_aktivitas_mahasiswa,mahasiswa dengan >=1 aktivitas / mahasiswa_aktif x 100,%,2023,31.0,
3,Aktivitas & Prestasi Mahasiswa,Wajib,iku3_aktivitas_mahasiswa,mahasiswa dengan >=1 aktivitas / mahasiswa_aktif x 100,%,2024,34.0,
3,Aktivitas & Prestasi Mahasiswa,Wajib,iku3_aktivitas_mahasiswa,mahasiswa dengan >=1 aktivitas / mahasiswa_aktif x 100,%,2025,37.0,
3,Aktivitas & Prestasi Mahasiswa,Wajib,iku3_aktivitas_mahasiswa,mahasiswa dengan >=1 aktivitas / mahasiswa_aktif x 100,%,2026,40.0,
4,Rekognisi Dosen,Pilihan,iku4_rekognisi_dosen,dosen dengan >=1 rekognisi / total dosen x 100,%,2021,15.0,
4,Rekognisi Dosen,Pilihan,iku4_rekognisi_dosen,dosen dengan >=1 rekognisi / total dosen x 100,%,2022,17.5,
4,Rekognisi Dosen,Pilihan,iku4_rekognisi_dosen,dosen dengan >=1 rekognisi / total dosen x 100,%,2023,20.0,
4,Rekognisi Dosen,Pilihan,iku4_rekognisi_dosen,dosen dengan >=1 rekognisi / total dosen x 100,%,2024,22.5,
4,Rekognisi Dosen,Pilihan,iku4_rekognisi_dosen,dosen dengan >=1 rekognisi / total dosen x 100,%,2025,25.0,
4,Rekognisi Dosen,Pilihan,iku4_rekognisi_dosen,dosen dengan >=1 rekognisi / total dosen x 100,%,2026,27.5,
5,Kerja Sama & Hilirisasi,Wajib,iku5_kerjasama,kerja sama aktif dengan hilirisasi / kerja sama aktif x 100,%,2021,30.0,
5,Kerja Sama & Hilirisasi,Wajib,iku5_kerjasama,kerja sama aktif dengan hilirisasi / kerja sama aktif x 100,%,2022,33.0,
5,Kerja Sama & Hilirisasi,Wajib,iku5_kerjasama,kerja sama aktif dengan hilirisasi / kerja sama aktif x 100,%,2023,36.0,
5,Kerja Sama & Hilirisasi,Wajib,iku5_kerjasama,kerja sama aktif dengan hilirisasi / kerja sama aktif x 100,%,2024,39.0,
5,Kerja Sama & Hilirisasi,Wajib,iku5_kerjasama,kerja sama aktif dengan hilirisasi / kerja sama aktif x 100,%,2025,42.0,
5,Kerja Sama & Hilirisasi,Wajib,iku5_kerjasama,kerja sama aktif dengan hilirisasi / kerja sama aktif x 100,%,2026,45.0,
6,Publikasi Internasional,Pilihan,iku6_publikasi,publikasi Scopus/WoS per tahun,dokumen,2021,20.0,
6,Publikasi Internasional,Pilihan,iku6_publikasi,publikasi Scopus/WoS per tahun,dokumen,2022,23.0,
6,Publikasi Internasional,Pilihan,iku6_publikasi,publikasi Scopus/WoS per tahun,dokumen,2023,26.0,
6,Publikasi Internasional,Pilihan,iku6_publikasi,publikasi Scopus/WoS per tahun,dokumen,2024,29.0,
6,Publikasi Internasional,Pilihan,iku6_publikasi,publikasi Scopus/WoS per tahun,dokumen,2025,32.0,
6,Publikasi Internasional,Pilihan,iku6_publikasi,publikasi Scopus/WoS per tahun,dokumen,2026,35.0,
7,Kontribusi SDGs,Wajib,iku7_sdgs,jumlah kegiatan ber-SDG per tahun,kegiatan,2021,10.0,
7,Kontribusi SDGs,Wajib,iku7_sdgs,jumlah kegiatan ber-SDG per tahun,kegiatan,2022,11.5,
7,Kontribusi SDGs,Wajib,iku7_sdgs,jumlah kegiatan ber-SDG per tahun,kegiatan,2023,13.0,
7,Kontribusi SDGs,Wajib,iku7_sdgs,jumlah kegiatan ber-SDG per tahun,kegiatan,2024,14.5,
7,Kontribusi SDGs,Wajib,iku7_sdgs,jumlah kegiatan ber-SDG per tahun,kegiatan,2025,16.0,
