program_id,year,year1_count,year2_count,rate
ACC,2021,89,79,0.888
ACC,2022,88,76,0.864
ACC,2023,88,76,0.864
ACC,2024,85,74,0.871
ACC,2025,99,87,0.879
ACC,2026,107,93,0.869
MGT,2021,61,53,0.869
MGT,2022,50,43,0.86
MGT,2023,54,47,0.87
MGT,2024,60,51,0.85
MGT,2025,62,53,0.855
MGT,2026,61,53,0.869
BIS,2021,89,76,0.854
BIS,2022,90,77,0.856
BIS,2023,92,76,0.826
BIS,2024,105,90,0.857
BIS,2025,110,93,0.845
BIS,2026,98,82,0.837
CSE,2021,65,55,0.846
CSE,2022,62,54,0.871
CSE,2023,69,59,0.855
CSE,2024,74,63,0.851
CSE,2025,67,57,0.851
CSE,2026,67,58,0.866
EEE,2021,87,70,0.805
EEE,2022,103,84,0.816
EEE,2023,100,81,0.81
EEE,2024,107,88,0.822
EEE,2025,108,87,0.806
EEE,2026,96,78,0.812
MEC,2021,56,47,0.839
MEC,2022,62,52,0.839
MEC,2023,52,43,0.827
MEC,2024,65,54,0.831
MEC,2025,67,55,0.821
MEC,2026,66,55,0.833
IND,2021,60,49,0.817
IND,2022,66,55,0.833
IND,2023,68,55,0.809
IND,2024,76,63,0.829
IND,2025,69,58,0.841
IND,2026,87,73,0.839
EDU,2021,95,86,0.905
EDU,2022,97,88,0.907
EDU,2023,110,102,0.927
EDU,2024,104,96,0.923
EDU,2025,113,104,0.92
EDU,2026,117,107,0.915
ENG,2021,83,71,0.855
ENG,2022,79,67,0.848
ENG,2023,85,70,0.824
ENG,2024,84,71,0.845
ENG,2025,91,77,0.846
ENG,2026,88,74,0.841
MTH,2021,80,70,0.875
MTH,2022,85,73,0.859
MTH,2023,92,80,0.87
MTH,2024,102,89,0.873
MTH,2025,96,84,0.875
MTH,2026,117,101,0.863
PAD,2021,73,62,0.849
PAD,2022,75,63,0.84
PAD,2023,75,63,0.84
PAD,2024,84,71,0.845
PAD,2025,86,73,0.849
PAD,2026,89,75,0.843
PSY,2021,60,55,0.917
PSY,2022,62,56,0.903
PSY,2023,79,71,0.899
PSY,2024,71,64,0.901
PSY,2025,71,65,0.915
PSY,2026,86,76,0.884
