program_id,tahun,mahasiswa_baru,mahasiswa_aktif,lulus,do_count,aee_pct,do_pct
ACC,2021,89,279,41,19,12.81,6.81
ACC,2022,88,307,54,22,14.96,7.17
ACC,2023,88,319,56,22,14.93,6.9
ACC,2024,85,326,67,21,17.05,6.44
ACC,2025,99,337,65,22,16.17,6.53
ACC,2026,107,357,65,26,15.4,7.28
MGT,2021,61,210,43,15,17.0,7.14
MGT,2022,50,202,40,13,16.53,6.44
MGT,2023,54,203,39,13,16.12,6.4
MGT,2024,60,211,43,15,16.93,7.11
MGT,2025,62,215,40,16,15.69,7.44
MGT,2026,61,220,40,14,15.38,6.36
BIS,2021,89,325,63,22,16.24,6.77
BIS,2022,90,330,66,23,16.67,6.97
BIS,2023,92,333,69,26,17.16,7.81
BIS,2024,105,343,68,25,16.55,7.29
BIS,2025,110,360,65,27,15.29,7.5
BIS,2026,98,366,67,26,15.47,7.1
CSE,2021,65,225,45,17,16.67,7.56
CSE,2022,62,225,46,15,16.97,6.67
CSE,2023,69,233,43,17,15.58,7.3
CSE,2024,74,247,49,18,16.55,7.29
CSE,2025,67,247,45,18,15.41,7.29
CSE,2026,67,251,50,17,16.61,6.77
EEE,2021,87,283,55,22,16.27,7.77
EEE,2022,103,309,57,25,15.57,8.09
EEE,2023,100,327,58,26,15.06,7.95
EEE,2024,107,350,59,25,14.43,7.14
EEE,2025,108,374,74,29,16.52,7.75
EEE,2026,96,367,76,26,17.16,7.08
MEC,2021,56,186,32,16,14.68,8.6
MEC,2022,62,200,36,17,15.25,8.5
MEC,2023,52,199,35,16,14.96,8.04
MEC,2024,65,213,39,18,15.48,8.45
MEC,2025,67,223,43,19,16.17,8.52
MEC,2026,66,227,38,19,14.34,8.37
IND,2021,60,212,47,17,18.15,8.02
IND,2022,66,214,39,17,15.42,7.94
IND,2023,68,226,44,20,16.3,8.85
IND,2024,76,238,42,20,15.0,8.4
IND,2025,69,245,48,18,16.38,7.35
IND,2026,87,266,49,21,15.56,7.89
EDU,2021,95,359,65,21,15.33,5.85
EDU,2022,97,370,75,20,16.85,5.41
EDU,2023,110,385,88,18,18.6,4.68
EDU,2024,104,383,78,20,16.92,5.22
EDU,2025,113,398,78,20,16.39,5.03
EDU,2026,117,417,90,22,17.75,5.28
ENG,2021,83,291,58,22,16.62,7.56
ENG,2022,79,290,56,21,16.18,7.24
ENG,2023,85,298,66,24,18.13,8.05
ENG,2024,84,292,60,23,17.05,7.88
ENG,2025,91,300,59,24,16.43,8.0
ENG,2026,88,305,62,24,16.89,7.87
MTH,2021,80,272,51,18,15.79,6.62
MTH,2022,85,288,53,20,15.54,6.94
MTH,2023,92,307,58,20,15.89,6.51
MTH,2024,102,331,63,22,15.99,6.65
MTH,2025,96,342,62,21,15.35,6.14
MTH,2026,117,376,70,25,15.7,6.65
PAD,2021,73,275,52,21,15.9,7.64
PAD,2022,75,277,56,22,16.82,7.94
PAD,2023,75,274,54,22,16.46,8.03
PAD,2024,84,282,55,23,16.32,8.16
PAD,2025,86,290,52,23,15.2,7.93
PAD,2026,89,304,53,24,14.85,7.89
PSY,2021,60,248,49,12,16.5,4.84
PSY,2022,62,249,51,14,17.0,5.62
PSY,2023,79,263,51,15,16.24,5.7
PSY,2024,71,268,51,15,15.99,5.6
PSY,2025,71,273,48,15,14.95,5.49
PSY,2026,86,296,59,19,16.62,6.42
