program_id,year,complete,admitted,enrolled
ACC,2021,83,65,47
ACC,2022,90,70,42
ACC,2023,97,81,55
ACC,2024,100,70,46
ACC,2025,99,78,51
ACC,2026,104,71,50
MGT,2021,107,86,54
MGT,2022,106,81,56
MGT,2023,115,88,59
MGT,2024,117,92,51
MGT,2025,127,95,69
MGT,2026,124,104,74
CS,2021,136,101,69
CS,2022,141,99,57
CS,2023,148,106,56
CS,2024,151,120,80
CS,2025,152,107,58
CS,2026,168,132,93
IS,2021,73,52,38
IS,2022,72,57,37
IS,2023,80,65,37
IS,2024,85,73,39
IS,2025,84,70,47
IS,2026,87,61,33
IE,2021,57,40,24
IE,2022,62,52,35
IE,2023,65,54,29
IE,2024,62,45,24
IE,2025,66,56,31
IE,2026,70,51,36
ME,2021,51,42,27
ME,2022,52,38,27
ME,2023,54,42,23
ME,2024,59,44,26
ME,2025,59,49,30
ME,2026,62,48,31
MTE,2021,37,29,19
MTE,2022,35,28,15
MTE,2023,38,27,20
MTE,2024,38,30,19
MTE,2025,40,31,18
MTE,2026,45,34,19
ELE,2021,42,32,21
ELE,2022,44,36,23
ELE,2023,48,39,27
ELE,2024,50,40,27
ELE,2025,51,43,29
ELE,2026,52,44,28
ELT,2021,29,25,16
ELT,2022,31,22,13
ELT,2023,32,22,15
ELT,2024,34,29,20
ELT,2025,34,28,16
ELT,2026,36,26,17
VCD,2021,75,57,38
VCD,2022,83,58,39
VCD,2023,89,64,45
VCD,2024,91,77,48
VCD,2025,95,81,47
VCD,2026,98,72,51
PSY,2021,93,79,48
PSY,2022,104,89,48
PSY,2023,102,74,41
PSY,2024,102,71,46
PSY,2025,112,88,59
PSY,2026,114,80,47
UND,2021,19,15,9
UND,2022,22,15,10
UND,2023,22,16,12
UND,2024,22,18,13
UND,2025,24,19,10
UND,2026,25,18,11
