username,role,faculty_id,program_id,bureau
rektor,rektor,,,
dekan_fbe,dekan,FBE,,
dekan_fst,dekan,FST,,
dekan_foe,dekan,FOE,,
dekan_fadm,dekan,FADM,,
dekan_fss,dekan,FSS,,
dekan_gen,dekan,GEN,,
kaprodi_acc,kaprodi,FBE,ACC,
kaprodi_mgt,kaprodi,FBE,MGT,
kaprodi_cs,kaprodi,FST,CS,
kaprodi_is,kaprodi,FST,IS,
kaprodi_ie,kaprodi,FST,IE,
kaprodi_me,kaprodi,FST,ME,
kaprodi_mte,kaprodi,FOE,MTE,
kaprodi_ele,kaprodi,FOE,ELE,
kaprodi_elt,kaprodi,FOE,ELT,
kaprodi_vcd,kaprodi,FADM,VCD,
kaprodi_psy,kaprodi,FSS,PSY,
kaprodi_und,kaprodi,GEN,UND,
kabag_akademik,kabag,,,akademik
kabag_admisi,kabag,,,admisi
