program_id,year,male_pct,female_pct,region_jkt_pct,region_jabar_pct,region_other_pct,region_intl_pct,fee_paying_pct,assisted_pct
ACC,2021,56,44,28,12,27,33,62,38
ACC,2022,55,45,34,17,34,15,59,41
ACC,2023,50,50,28,12,21,39,51,49
ACC,2024,59,41,41,18,28,13,60,40
ACC,2025,47,53,36,18,33,13,47,53
ACC,2026,46,54,34,16,29,21,50,50
MGT,2021,47,53,28,14,32,26,49,51
MGT,2022,39,61,33,13,31,23,68,32
MGT,2023,55,45,35,16,33,16,56,44
MGT,2024,39,61,31,15,25,29,49,51
MGT,2025,61,39,37,16,35,12,64,36
MGT,2026,50,50,39,14,26,21,66,34
CS,2021,53,47,36,12,27,25,63,37
CS,2022,59,41,34,18,28,20,68,32
CS,2023,52,48,42,13,20,25,65,35
CS,2024,62,38,34,16,27,23,56,44
CS,2025,53,47,33,12,25,30,65,35
CS,2026,56,44,36,17,23,24,63,37
IS,2021,58,42,28,20,30,22,50,50
IS,2022,54,46,38,13,31,18,63,37
IS,2023,40,60,28,14,33,25,54,46
IS,2024,62,38,40,13,34,13,68,32
IS,2025,56,44,40,12,34,14,51,49
IS,2026,50,50,28,16,30,26,63,37
IE,2021,45,55,37,19,26,18,59,41
IE,2022,51,49,42,20,32,6,63,37
IE,2023,54,46,29,17,28,26,66,34
IE,2024,58,42,33,16,28,23,49,51
IE,2025,49,51,30,12,29,29,65,35
IE,2026,49,51,33,14,23,30,67,33
ME,2021,47,53,38,17,29,16,67,33
ME,2022,48,52,40,15,33,12,55,45
ME,2023,40,60,33,19,32,16,50,50
ME,2024,45,55,40,20,22,18,51,49
ME,2025,55,45,37,13,26,24,69,31
ME,2026,43,57,41,16,31,12,46,54
MTE,2021,53,47,29,20,22,29,68,32
MTE,2022,45,55,38,15,24,23,45,55
MTE,2023,61,39,31,17,21,31,61,39
MTE,2024,58,42,33,12,33,22,50,50
MTE,2025,48,52,32,19,33,16,51,49
MTE,2026,59,41,32,16,33,19,49,51
ELE,2021,40,60,29,17,32,22,58,42
ELE,2022,38,62,34,20,35,11,65,35
ELE,2023,56,44,29,13,33,25,69,31
ELE,2024,40,60,29,14,22,35,46,54
ELE,2025,52,48,39,14,34,13,67,33
ELE,2026,41,59,37,13,22,28,67,33
ELT,2021,46,54,33,13,34,20,52,48
ELT,2022,52,48,31,19,20,30,66,34
ELT,2023,48,52,40,13,27,20,65,35
ELT,2024,53,47,39,12,25,24,58,42
ELT,2025,40,60,41,18,29,12,63,37
ELT,2026,45,55,28,14,25,33,62,38
VCD,2021,49,51,32,15,29,24,45,55
VCD,2022,42,58,41,12,31,16,64,36
VCD,2023,55,45,37,18,22,23,65,35
VCD,2024,62,38,37,12,23,28,48,52
VCD,2025,47,53,28,19,24,29,57,43
VCD,2026,58,42,37,19,29,15,59,41
PSY,2021,48,52,38,13,26,23,65,35
PSY,2022,43,57,33,13,29,25,65,35
PSY,2023,47,53,40,18,35,7,46,54
PSY,2024,45,55,42,12,21,25,47,53
PSY,2025,42,58,32,18,33,17,65,35
PSY,2026,44,56,34,13,31,22,70,30
UND,2021,53,47,40,17,23,20,68,32
UND,2022,52,48,34,16,34,16,68,32
UND,2023,47,53,37,12,22,29,49,51
UND,2024,39,61,36,17,22,25,50,50
UND,2025,48,52,29,16,32,23,57,43
UND,2026,44,56,29,15,24,32,55,45
