program_id,grad_year,grad_count,avg_gpa,ftic_pct,transfer_pct,avg_years
ACC,2021,61,3.59,77,23,4.23
ACC,2022,63,3.33,71,13,4.06
ACC,2023,66,3.45,71,26,4.09
ACC,2024,69,3.58,77,15,4.21
ACC,2025,70,3.57,70,11,4.26
ACC,2026,73,3.71,75,13,4.08
MGT,2021,69,3.06,84,19,4.5
MGT,2022,70,3.71,83,26,4.48
MGT,2023,72,3.58,89,29,4.35
MGT,2024,82,3.17,71,30,4.25
MGT,2025,79,3.67,82,21,4.48
MGT,2026,83,3.56,89,13,4.47
CS,2021,89,3.38,77,19,4.16
CS,2022,91,3.7,85,11,4.51
CS,2023,97,3.62,90,22,4.56
CS,2024,97,3.44,86,18,4.27
CS,2025,107,3.69,81,16,3.92
CS,2026,112,3.65,80,20,4.14
IS,2021,52,3.45,74,26,4.28
IS,2022,48,3.26,84,18,4.05
IS,2023,55,3.44,78,24,4.18
IS,2024,58,3.66,74,25,4.48
IS,2025,58,3.23,78,30,4.13
IS,2026,62,3.3,80,17,4.32
IE,2021,39,3.4,70,28,4.57
IE,2022,37,3.13,88,24,4.29
IE,2023,41,3.64,82,18,4.2
IE,2024,41,3.4,89,18,3.99
IE,2025,46,3.17,83,15,4.58
IE,2026,46,3.59,77,21,4.4
ME,2021,35,3.44,81,11,4.2
ME,2022,37,3.29,73,19,4.37
ME,2023,37,3.65,89,18,4.14
ME,2024,37,3.07,87,26,4.4
ME,2025,43,3.29,85,28,4.03
ME,2026,45,3.07,79,17,4.01
MTE,2021,23,3.21,85,22,4.53
MTE,2022,28,3.56,72,16,4.45
MTE,2023,25,3.69,75,22,4.42
MTE,2024,24,3.34,74,20,4.17
MTE,2025,31,3.25,87,20,4.24
MTE,2026,28,3.3,88,10,4.1
ELE,2021,25,3.37,82,11,4.18
ELE,2022,28,3.64,83,19,4.21
ELE,2023,33,3.07,84,18,4.53
ELE,2024,35,3.44,89,18,4.56
ELE,2025,32,3.27,77,14,4.28
ELE,2026,34,3.37,86,12,4.46
ELT,2021,22,3.36,84,24,4.52
ELT,2022,22,3.5,86,24,4.42
ELT,2023,20,3.15,79,20,4.15
ELT,2024,20,3.33,89,25,4.5
ELT,2025,26,3.41,80,23,4.56
ELT,2026,23,3.49,90,14,4.5
VCD,2021,54,3.39,80,11,4.28
VCD,2022,59,3.1,80,12,4.21
VCD,2023,59,3.12,86,28,4.08
VCD,2024,61,3.24,83,18,4.35
VCD,2025,65,3.27,80,21,3.95
VCD,2026,65,3.67,81,22,4.27
PSY,2021,65,3.23,73,12,3.96
PSY,2022,68,3.5,72,30,4.51
PSY,2023,68,3.25,70,10,4.58
PSY,2024,72,3.21,85,11,4.08
PSY,2025,73,3.66,81,29,4.47
PSY,2026,77,3.26,80,11,4.16
UND,2021,12,3.67,78,15,4.48
UND,2022,12,3.13,78,22,4.0
UND,2023,14,3.67,84,10,4.24
UND,2024,16,3.25,73,27,4.54
UND,2025,20,3.24,79,17,4.0
UND,2026,15,3.45,86,27,4.39
