dosen_id,tahun,kategori_tunjangan,ikut_pengembangan_karir,status_perlindungan
D0001,2021,Fungsional,False,BPJS Kesehatan saja
D0001,2022,Kinerja,True,BPJS Kesehatan saja
D0001,2023,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0001,2024,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0001,2025,Sertifikasi Dosen,True,Tidak Ada
D0001,2026,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0002,2021,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0002,2022,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0002,2023,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0002,2024,Kinerja,True,BPJS Kesehatan saja
D0002,2025,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0002,2026,Sertifikasi Dosen,True,BPJS Kesehatan saja
D0003,2021,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0003,2022,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0003,2023,Sertifikasi Dosen,True,BPJS Kesehatan saja
D0003,2024,Tidak Ada,True,BPJS Kesehatan saja
D0003,2025,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0003,2026,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0004,2021,Sertifikasi Dosen,False,Tidak Ada
D0004,2022,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0004,2023,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0004,2024,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0004,2025,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0004,2026,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0005,2021,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0005,2022,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0005,2023,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0005,2024,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0005,2025,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0005,2026,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0006,2021,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0006,2022,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0006,2023,Sertifikasi Dosen,False,Tidak Ada
D0006,2024,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0006,2025,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0006,2026,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0007,2021,Fungsional,False,BPJS Kesehatan saja
D0007,2022,Kinerja,True,Tidak Ada
D0007,2023,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0007,2024,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0007,2025,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0007,2026,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0008,2021,Fungsional,True,Tidak Ada
D0008,2022,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0008,2023,Tidak Ada,False,Tidak Ada
D0008,2024,Fungsional,False,BPJS Kesehatan saja
D0008,2025,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0008,2026,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0009,2021,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0009,2022,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0009,2023,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0009,2024,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0009,2025,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0009,2026,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0010,2021,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0010,2022,Sertifikasi Dosen,True,BPJS Kesehatan saja
D0010,2023,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0010,2024,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0010,2025,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0010,2026,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0011,2021,Tidak Ada,False,BPJS Kesehatan saja
D0011,2022,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0011,2023,Fungsional,False,BPJS Kesehatan saja
D0011,2024,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
