program_id,tahun_lulus,lulus_tepat_waktu,lulus_total,standar_masa_studi_semester
ACC,2021,41,58,8
ACC,2022,46,58,8
ACC,2023,37,58,8
ACC,2024,38,58,8
ACC,2025,33,58,8
ACC,2026,40,58,8
MGT,2021,39,68,8
MGT,2022,46,68,8
MGT,2023,48,68,8
MGT,2024,39,68,8
MGT,2025,44,68,8
MGT,2026,50,68,8
CS,2021,54,87,8
CS,2022,62,87,8
CS,2023,65,87,8
CS,2024,49,87,8
CS,2025,58,87,8
CS,2026,48,87,8
IS,2021,30,48,8
IS,2022,28,48,8
IS,2023,28,48,8
IS,2024,33,48,8
IS,2025,33,48,8
IS,2026,26,48,8
IE,2021,22,38,8
IE,2022,29,38,8
IE,2023,27,38,8
IE,2024,23,38,8
IE,2025,32,38,8
IE,2026,29,38,8
ME,2021,25,33,8
ME,2022,20,33,8
ME,2023,20,33,8
ME,2024,22,33,8
ME,2025,23,33,8
ME,2026,24,33,8
MTE,2021,15,23,8
MTE,2022,16,23,8
MTE,2023,16,23,8
MTE,2024,16,23,8
MTE,2025,14,23,8
MTE,2026,15,23,8
ELE,2021,18,28,8
ELE,2022,18,28,8
ELE,2023,20,28,8
ELE,2024,22,28,8
ELE,2025,21,28,8
ELE,2026,19,28,8
ELT,2021,13,20,8
ELT,2022,11,20,8
ELT,2023,16,20,8
ELT,2024,14,20,8
ELT,2025,11,20,8
ELT,2026,17,20,8
VCD,2021,29,52,8
VCD,2022,35,52,8
VCD,2023,35,52,8
VCD,2024,30,52,8
VCD,2025,32,52,8
VCD,2026,40,52,8
PSY,2021,44,62,8
PSY,2022,37,62,8
PSY,2023,36,62,8
PSY,2024,53,62,8
PSY,2025,47,62,8
PSY,2026,38,62,8
UND,2021,11,13,8
UND,2022,11,13,8
UND,2023,10,13,8
UND,2024,10,13,8
UND,2025,9,13,8
UND,2026,8,13,8
