program_id,tahun_lulus,jumlah_responden,bekerja,wirausaha,lanjut_studi,belum_bekerja,waktu_tunggu_rata2_bulan
ACC,2021,39,23,3,2,11,4.1
ACC,2022,41,30,5,3,3,5.0
ACC,2023,46,30,6,7,3,4.8
ACC,2024,44,26,4,6,8,6.0
ACC,2025,47,34,7,5,1,5.5
ACC,2026,44,30,6,5,3,5.1
MGT,2021,49,34,3,5,7,2.5
MGT,2022,52,36,6,7,3,7.2
MGT,2023,54,39,3,3,9,5.1
MGT,2024,45,30,4,2,9,3.3
MGT,2025,61,41,6,7,7,5.9
MGT,2026,52,33,7,7,5,5.4
CS,2021,81,45,9,8,19,7.0
CS,2022,65,38,7,7,13,3.3
CS,2023,58,34,4,3,17,7.4
CS,2024,62,39,4,6,13,7.8
CS,2025,64,36,4,4,20,4.8
CS,2026,82,48,7,7,20,3.4
IS,2021,36,21,4,5,6,7.6
IS,2022,45,28,4,6,7,2.5
IS,2023,29,19,3,3,4,2.2
IS,2024,31,19,2,3,7,2.1
IS,2025,45,30,6,4,5,4.2
IS,2026,29,18,4,3,4,5.6
IE,2021,33,23,4,4,2,3.1
IE,2022,25,18,3,1,3,2.8
IE,2023,25,15,3,2,5,6.1
IE,2024,23,15,2,1,5,7.5
IE,2025,28,20,3,4,1,6.9
IE,2026,36,26,2,4,4,2.9
ME,2021,21,13,1,2,5,3.4
ME,2022,27,18,2,2,5,7.2
ME,2023,30,18,3,3,6,3.6
ME,2024,30,19,4,2,5,6.2
ME,2025,30,19,2,4,5,7.6
ME,2026,30,22,3,4,1,2.5
MTE,2021,14,8,2,1,3,5.8
MTE,2022,17,10,1,1,5,6.2
MTE,2023,16,11,1,2,2,4.2
MTE,2024,17,12,2,2,1,7.5
MTE,2025,14,10,2,1,1,7.9
MTE,2026,14,9,1,1,3,6.5
ELE,2021,23,14,3,1,5,7.3
ELE,2022,26,15,2,2,7,5.9
ELE,2023,26,17,4,2,3,5.0
ELE,2024,24,17,1,2,4,5.9
ELE,2025,25,18,2,3,2,5.4
ELE,2026,21,13,3,3,2,2.9
ELT,2021,12,7,1,2,2,2.5
ELT,2022,16,10,1,2,3,7.6
ELT,2023,15,9,2,1,3,3.4
ELT,2024,14,9,2,1,2,7.4
ELT,2025,16,12,1,2,1,2.4
ELT,2026,19,14,2,3,0,5.9
VCD,2021,38,27,3,2,6,7.8
VCD,2022,46,28,3,3,12,5.2
VCD,2023,43,32,3,6,2,6.4
VCD,2024,43,25,3,3,12,2.8
VCD,2025,36,27,3,5,1,7.2
VCD,2026,40,26,4,4,6,6.0
PSY,2021,56,35,7,7,7,4.3
PSY,2022,48,27,4,4,13,3.0
PSY,2023,42,31,5,4,2,5.1
PSY,2024,57,38,6,6,7,5.8
PSY,2025,48,28,6,5,9,3.6
PSY,2026,38,22,2,4,10,6.5
UND,2021,10,6,1,1,2,4.2
UND,2022,9,5,1,1,2,2.0
UND,2023,9,5,1,1,2,7.1
UND,2024,12,8,1,2,1,2.7
UND,2025,9,7,1,1,0,8.0
UND,2026,9,6,1,1,1,3.1
