program_id,tahun,ikut_kompetisi,menang_prestasi,ikut_pertukaran_pelajar,ikut_riset_dosen,ikut_organisasi,ikut_pengabdian
ACC,2021,20,13,3,18,28,6
ACC,2022,24,8,0,14,13,7
ACC,2023,44,8,3,10,38,10
ACC,2024,33,15,4,22,17,13
ACC,2025,38,12,4,3,23,15
ACC,2026,5,2,5,19,61,5
MGT,2021,46,13,8,22,48,8
MGT,2022,47,11,1,18,83,13
MGT,2023,45,13,3,8,56,10
MGT,2024,24,6,2,26,79,2
MGT,2025,25,14,6,20,11,8
MGT,2026,50,2,0,10,68,14
CS,2021,28,2,8,27,64,2
CS,2022,62,20,8,24,68,5
CS,2023,34,10,4,17,50,3
CS,2024,46,4,5,24,86,14
CS,2025,50,17,1,32,96,12
CS,2026,61,14,1,4,77,14
IS,2021,31,8,8,16,11,9
IS,2022,17,10,1,11,50,9
IS,2023,29,12,4,17,53,9
IS,2024,36,12,2,7,23,7
IS,2025,8,8,5,12,47,9
IS,2026,21,10,3,3,26,10
IE,2021,7,2,6,7,24,3
IE,2022,10,2,2,14,25,3
IE,2023,6,5,4,13,12,12
IE,2024,31,4,1,13,31,8
IE,2025,5,6,3,11,39,9
IE,2026,12,4,7,8,43,14
ME,2021,14,8,0,9,16,7
ME,2022,27,8,8,12,30,9
ME,2023,16,10,7,7,42,15
ME,2024,21,7,0,4,37,3
ME,2025,16,2,7,6,26,2
ME,2026,8,2,4,12,31,2
MTE,2021,19,7,1,8,26,2
MTE,2022,15,4,4,8,29,13
MTE,2023,10,1,2,7,29,14
MTE,2024,19,4,0,11,19,9
MTE,2025,13,1,0,5,23,10
MTE,2026,15,3,6,10,31,6
ELE,2021,8,3,2,8,36,3
ELE,2022,19,3,0,5,21,5
ELE,2023,16,6,1,8,11,7
ELE,2024,18,4,5,12,30,14
ELE,2025,6,6,6,9,20,14
ELE,2026,23,1,5,5,28,10
ELT,2021,9,4,1,6,26,2
ELT,2022,18,4,0,7,17,10
ELT,2023,10,4,8,7,20,10
ELT,2024,13,3,5,2,13,5
ELT,2025,10,4,8,9,28,11
ELT,2026,11,5,7,4,13,12
VCD,2021,33,7,8,13,57,8
VCD,2022,20,10,6,3,24,4
VCD,2023,7,11,0,16,11,12
VCD,2024,18,5,8,7,41,11
VCD,2025,16,5,6,12,34,7
VCD,2026,9,4,8,7,49,6
PSY,2021,32,15,1,6,76,13
PSY,2022,5,2,2,12,25,10
PSY,2023,6,16,0,6,71,3
PSY,2024,21,4,8,5,64,9
PSY,2025,38,6,5,24,20,9
PSY,2026,30,10,1,24,29,13
UND,2021,7,3,3,7,19,14
UND,2022,14,2,6,3,17,3
UND,2023,11,5,5,6,20,5
UND,2024,9,4,7,5,24,4
UND,2025,12,4,6,3,10,6
UND,2026,8,1,6,7,10,3
