id,dosen_id,tahun,jenis_rekognisi,deskripsi
1,D0010,2026,Sitasi Ilmiah Tinggi,Pengakuan atas kontribusi keilmuan dan riset terapan
2,D0068,2024,Penerapan Riset di Masyarakat,Pengakuan atas kontribusi keilmuan dan riset terapan
3,D0055,2024,Kepakaran Nasional,Pengakuan atas kontribusi keilmuan dan riset terapan
4,D0052,2021,Sitasi Ilmiah Tinggi,Pengakuan atas kontribusi keilmuan dan riset terapan
5,D0081,2023,Kepakaran Nasional,Pengakuan atas kontribusi keilmuan dan riset terapan
6,D0020,2025,Sitasi Ilmiah Tinggi,Pengakuan atas kontribusi keilmuan dan riset terapan
7,D0077,2023,Penerapan Riset di Masyarakat,Pengakuan atas kontribusi keilmuan dan riset terapan
8,D0061,2022,Penerapan Riset di Masyarakat,Pengakuan atas kontribusi keilmuan dan riset terapan
9,D0032,2025,Penghargaan Internasional,Pengakuan atas kontribusi keilmuan dan riset terapan
10,D0066,2023,Sitasi Ilmiah Tinggi,Pengakuan atas kontribusi keilmuan dan riset terapan
11,D0062,2021,Sitasi Ilmiah Tinggi,Pengakuan atas kontribusi keilmuan dan riset terapan
12,D0057,2023,Penerapan Riset di Masyarakat,Pengakuan atas kontribusi keilmuan dan riset terapan
13,D0056,2022,Penghargaan Internasional,Pengakuan atas kontribusi keilmuan dan riset terapan
14,D0030,2024,Sitasi Ilmiah Tinggi,Pengakuan atas kontribusi keilmuan dan riset terapan
15,D0034,2021,Kepakaran Nasional,Pengakuan atas kontribusi keilmuan dan riset terapan
16,D0045,2025,Penerapan Riset di Masyarakat,Pengakuan atas kontribusi keilmuan dan riset terapan
17,D0060,2022,Sitasi Ilmiah Tinggi,Pengakuan atas kontribusi keilmuan dan riset terapan
18,D0028,2022,Sitasi Ilmiah Tinggi,Pengakuan atas kontribusi keilmuan dan riset terapan
19,D0024,2025,Penerapan Riset di Masyarakat,Pengakuan atas kontribusi keilmuan dan riset terapan
20,D0071,2024,Sitasi Ilmiah Tinggi,Pengakuan atas kontribusi keilmuan dan riset terapan
