id,dosen_id,tahun,judul,indeks,jumlah_sitasi
1,D0001,2022,Studi terapan bidang ACC tahun 2022,WoS,36
2,D0002,2022,Studi terapan bidang ACC tahun 2022,WoS,30
3,D0003,2021,Studi terapan bidang ACC tahun 2021,Lainnya,17
4,D0004,2024,Studi terapan bidang ACC tahun 2024,WoS,6
5,D0005,2026,Studi terapan bidang ACC tahun 2026,Scopus,24
6,D0005,2026,Studi terapan bidang ACC tahun 2026,Lainnya,11
7,D0007,2022,Studi terapan bidang ACC tahun 2022,Scopus,36
8,D0007,2024,Studi terapan bidang ACC tahun 2024,Lainnya,7
9,D0009,2025,Studi terapan bidang ACC tahun 2025,WoS,36
10,D0009,2021,Studi terapan bidang ACC tahun 2021,WoS,36
11,D0011,2021,Studi terapan bidang MGT tahun 2021,Lainnya,35
12,D0012,2024,Studi terapan bidang MGT tahun 2024,WoS,9
13,D0012,2022,Studi terapan bidang MGT tahun 2022,Scopus,14
14,D0012,2026,Studi terapan bidang MGT tahun 2026,WoS,29
15,D0013,2021,Studi terapan bidang MGT tahun 2021,Scopus,19
16,D0013,2026,Studi terapan bidang MGT tahun 2026,WoS,7
17,D0014,2023,Studi terapan bidang MGT tahun 2023,Scopus,34
18,D0014,2023,Studi terapan bidang MGT tahun 2023,Lainnya,5
19,D0015,2021,Studi terapan bidang MGT tahun 2021,Scopus,3
20,D0016,2025,Studi terapan bidang MGT tahun 2025,WoS,7
21,D0016,2023,Studi terapan bidang MGT tahun 2023,Lainnya,27
22,D0016,2024,Studi terapan bidang MGT tahun 2024,WoS,11
23,D0017,2023,Studi terapan bidang MGT tahun 2023,Scopus,30
24,D0017,2025,Studi terapan bidang MGT tahun 2025,Scopus,30
25,D0017,2026,Studi terapan bidang MGT tahun 2026,Scopus,13
26,D0018,2025,Studi terapan bidang MGT tahun 2025,Lainnya,1
27,D0018,2026,Studi terapan bidang MGT tahun 2026,Lainnya,30
28,D0019,2023,Studi terapan bidang MGT tahun 2023,WoS,29
29,D0019,2021,Studi terapan bidang MGT tahun 2021,WoS,7
30,D0019,2023,Studi terapan bidang MGT tahun 2023,Scopus,33
31,D0021,2024,Studi terapan bidang CS tahun 2024,Lainnya,36
32,D0022,2025,Studi terapan bidang CS tahun 2025,WoS,33
33,D0026,2026,Studi terapan bidang CS tahun 2026,Lainnya,33
34,D0027,2023,Studi terapan bidang CS tahun 2023,WoS,34
35,D0027,2024,Studi terapan bidang CS tahun 2024,Scopus,20
36,D0029,2026,Studi terapan bidang CS tahun 2026,Scopus,26
37,D0030,2026,Studi terapan bidang CS tahun 2026,Lainnya,16
38,D0031,2021,Studi terapan bidang CS tahun 2021,Lainnya,2
39,D0031,2024,Studi terapan bidang CS tahun 2024,Lainnya,31
40,D0032,2022,Studi terapan bidang CS tahun 2022,Lainnya,20
41,D0034,2023,Studi terapan bidang IS tahun 2023,Scopus,15
42,D0036,2025,Studi terapan bidang IS tahun 2025,Lainnya,18
43,D0036,2023,Studi terapan bidang IS tahun 2023,Scopus,2
44,D0037,2023,Studi terapan bidang IS tahun 2023,Scopus,2
45,D0038,2023,Studi terapan bidang IS tahun 2023,Lainnya,25
46,D0038,2022,Studi terapan bidang IS tahun 2022,Lainnya,29
47,D0039,2021,Studi terapan bidang IS tahun 2021,Scopus,30
48,D0041,2022,Studi terapan bidang IE tahun 2022,Scopus,30
49,D0041,2026,Studi terapan bidang IE tahun 2026,Lainnya,12
50,D0042,2024,Studi terapan bidang IE tahun 2024,Scopus,20
51,D0045,2024,Studi terapan bidang IE tahun 2024,Scopus,34
52,D0045,2024,Studi terapan bidang IE tahun 2024,Lainnya,32
53,D0046,2025,Studi terapan bidang ME tahun 2025,Lainnya,39
54,D0046,2026,Studi terapan bidang ME tahun 2026,Scopus,9
55,D0047,2026,Studi terapan bidang ME tahun 2026,Lainnya,37
56,D0048,2023,Studi terapan bidang ME tahun 2023,Lainnya,37
57,D0049,2026,Studi terapan bidang ME tahun 2026,Lainnya,18
58,D0049,2025,Studi terapan bidang ME tahun 2025,Scopus,4
59,D0052,2024,Studi terapan bidang MTE tahun 2024,Lainnya,12
60,D0053,2024,Studi terapan bidang MTE tahun 2024,Scopus,21
61,D0057,2023,Studi terapan bidang ELE tahun 2023,Lainnya,3
62,D0058,2025,Studi terapan bidang ELE tahun 2025,WoS,13
63,D0059,2024,Studi terapan bidang ELT tahun 2024,Scopus,13
64,D0059,2026,Studi terapan bidang ELT tahun 2026,Scopus,32
65,D0059,2025,Studi terapan bidang ELT tahun 2025,Lainnya,11
66,D0060,2025,Studi terapan bidang ELT tahun 2025,Scopus,19
67,D0060,2025,Studi terapan bidang ELT tahun 2025,Scopus,26
68,D0061,2022,Studi terapan bidang ELT tahun 2022,Scopus,25
69,D0061,2025,Studi terapan bidang ELT tahun 2025,Scopus,31
70,D0063,2025,Studi terapan bidang VCD tahun 2025,Scopus,34
71,D0064,2022,Studi terapan bidang VCD tahun 2022,WoS,27
72,D0064,2025,Studi terapan bidang VCD tahun 2025,WoS,36
73,D0064,2024,Studi terapan bidang VCD tahun 2024,Scopus,0
74,D0066,2024,Studi terapan bidang VCD tahun 2024,Lainnya,33
75,D0066,2021,Studi terapan bidang VCD tahun 2021,WoS,2
76,D0068,2023,Studi terapan bidang VCD tahun 2023,WoS,37
77,D0069,2024,Studi terapan bidang VCD tahun 2024,Lainnya,14
78,D0074,2025,Studi terapan bidang PSY tahun 2025,Scopus,32
79,D0077,2021,Studi terapan bidang PSY tahun 2021,Scopus,39
80,D0077,2025,Studi terapan bidang PSY tahun 2025,Scopus,15
81,D0079,2025,Studi terapan bidang PSY tahun 2025,WoS,18
82,D0080,2026,Studi terapan bidang UND tahun 2026,Scopus,30
83,D0080,2026,Studi terapan bidang UND tahun 2026,Scopus,18
84,D0081,2022,Studi terapan bidang UND tahun 2022,Scopus,12
85,D0081,2021,Studi terapan bidang UND tahun 2021,Scopus,10
86,D0082,2022,Studi terapan bidang UND tahun 2022,Scopus,21
87,D0083,2021,Studi terapan bidang UND tahun 2021,Scopus,5
