kegiatan_id,judul,sdg_terkait,tahun,unit_pelaksana,jumlah_penerima_manfaat
1,Program Pengabdian Masyarakat FBE 2021-1,SDG 4,2021,FBE,352
2,Program Pengabdian Masyarakat FBE 2022-2,SDG 4,2022,FBE,197
3,Program Pengabdian Masyarakat FBE 2022-3,SDG 3,2022,FBE,176
4,Program Pengabdian Masyarakat FBE 2022-4,SDG 1,2022,FBE,279
5,Program Pengabdian Masyarakat FBE 2023-5,SDG 1,2023,FBE,186
6,Program Pengabdian Masyarakat FBE 2023-6,SDG 1,2023,FBE,165
7,Program Pengabdian Masyarakat FBE 2024-7,SDG 17,2024,FBE,241
8,Program Pengabdian Masyarakat FBE 2024-8,SDG 10,2024,FBE,329
9,Program Pengabdian Masyarakat FBE 2025-9,SDG 1,2025,FBE,180
10,Program Pengabdian Masyarakat FBE 2025-10,SDG 17,2025,FBE,223
11,Program Pengabdian Masyarakat FBE 2026-11,SDG 17,2026,FBE,144
12,Program Pengabdian Masyarakat FST 2021-12,SDG 9,2021,FST,275
13,Program Pengabdian Masyarakat FST 2022-13,SDG 1,2022,FST,269
14,Program Pengabdian Masyarakat FST 2022-14,SDG 4,2022,FST,272
15,Program Pengabdian Masyarakat FST 2023-15,SDG 9,2023,FST,394
16,Program Pengabdian Masyarakat FST 2024-16,SDG 8,2024,FST,119
17,Program Pengabdian Masyarakat FST 2024-17,SDG 17,2024,FST,309
18,Program Pengabdian Masyarakat FST 2024-18,SDG 10,2024,FST,185
19,Program Pengabdian Masyarakat FST 2025-19,SDG 17,2025,FST,221
20,Program Pengabdian Masyarakat FST 2026-20,SDG 3,2026,FST,221
21,Program Pengabdian Masyarakat FOE 2021-21,SDG 3,2021,FOE,428
22,Program Pengabdian Masyarakat FOE 2021-22,SDG 1,2021,FOE,396
23,Program Pengabdian Masyarakat FOE 2021-23,SDG 4,2021,FOE,208
24,Program Pengabdian Masyarakat FOE 2022-24,SDG 10,2022,FOE,283
25,Program Pengabdian Masyarakat FOE 2023-25,SDG 17,2023,FOE,200
26,Program Pengabdian Masyarakat FOE 2023-26,SDG 1,2023,FOE,113
27,Program Pengabdian Masyarakat FOE 2023-27,SDG 3,2023,FOE,298
28,Program Pengabdian Masyarakat FOE 2024-28,SDG 1,2024,FOE,38
29,Program Pengabdian Masyarakat FOE 2024-29,SDG 17,2024,FOE,293
30,Program Pengabdian Masyarakat FOE 2024-30,SDG 4,2024,FOE,257
31,Program Pengabdian Masyarakat FOE 2025-31,SDG 1,2025,FOE,457
32,Program Pengabdian Masyarakat FOE 2026-32,SDG 1,2026,FOE,228
33,Program Pengabdian Masyarakat FADM 2021-33,SDG 4,2021,FADM,251
34,Program Pengabdian Masyarakat FADM 2021-34,SDG 9,2021,FADM,453
35,Program Pengabdian Masyarakat FADM 2021-35,SDG 4,2021,FADM,280
36,Program Pengabdian Masyarakat FADM 2022-36,SDG 3,2022,FADM,488
37,Program Pengabdian Masyarakat FADM 2023-37,SDG 1,2023,FADM,391
38,Program Pengabdian Masyarakat FADM 2024-38,SDG 10,2024,FADM,370
39,Program Pengabdian Masyarakat FADM 2025-39,SDG 8,2025,FADM,476
40,Program Pengabdian Masyarakat FADM 2025-40,SDG 17,2025,FADM,461
41,Program Pengabdian Masyarakat FADM 2026-41,SDG 9,2026,FADM,393
42,Program Pengabdian Masyarakat FADM 2026-42,SDG 8,2026,FADM,172
43,Program Pengabdian Masyarakat FSS 2021-43,SDG 4,2021,FSS,485
44,Program Pengabdian Masyarakat FSS 2022-44,SDG 17,2022,FSS,429
45,Program Pengabdian Masyarakat FSS 2022-45,SDG 3,2022,FSS,154
46,Program Pengabdian Masyarakat FSS 2022-46,SDG 1,2022,FSS,291
47,Program Pengabdian Masyarakat FSS 2023-47,SDG 10,2023,FSS,480
48,Program Pengabdian Masyarakat FSS 2024-48,SDG 8,2024,FSS,132
49,Program Pengabdian Masyarakat FSS 2024-49,SDG 10,2024,FSS,159
50,Program Pengabdian Masyarakat FSS 2024-50,SDG 8,2024,FSS,450
51,Program Pengabdian Masyarakat FSS 2025-51,SDG 17,2025,FSS,215
52,Program Pengabdian Masyarakat FSS 2026-52,SDG 1,2026,FSS,335
53,Program Pengabdian Masyarakat FSS 2026-53,SDG 3,2026,FSS,177
54,Program Pengabdian Masyarakat GEN 2021-54,SDG 10,2021,GEN,369
55,Program Pengabdian Masyarakat GEN 2022-55,SDG 4,2022,GEN,162
56,Program Pengabdian Masyarakat GEN 2023-56,SDG 17,2023,GEN,449
57,Program Pengabdian Masyarakat GEN 2023-57,SDG 4,2023,GEN,447
58,Program Pengabdian Masyarakat GEN 2023-58,SDG 8,2023,GEN,54
59,Program Pengabdian Masyarakat GEN 2024-59,SDG 10,2024,GEN,434
60,Program Pengabdian Masyarakat GEN 2024-60,SDG 17,2024,GEN,326
61,Program Pengabdian Masyarakat GEN 2024-61,SDG 4,2024,GEN,383
62,Program Pengabdian Masyarakat GEN 2025-62,SDG 1,2025,GEN,270
63,Program Pengabdian Masyarakat GEN 2025-63,SDG 17,2025,GEN,483
64,Program Pengabdian Masyarakat GEN 2026-64,SDG 9,2026,GEN,193
65,Program Pengabdian Masyarakat GEN 2026-65,SDG 8,2026,GEN,361
