id,dosen_id,tahun,jenis_keterlibatan,instansi
1,D0003,2024,Penyusunan Kebijakan,Kadin
2,D0030,2024,Konsultasi Pemerintah,Kemendikbudristek
3,D0010,2024,Konsultasi Industri,OJK
4,D0026,2022,Penyusunan Kebijakan,Kemendikbudristek
5,D0057,2024,Konsultasi Industri,Kadin
6,D0018,2022,Konsultasi Industri,Kadin
7,D0014,2022,Penyusunan Kebijakan,OJK
8,D0038,2025,Konsultasi Pemerintah,Kemendikbudristek
9,D0067,2022,Konsultasi Pemerintah,OJK
10,D0082,2022,Konsultasi Pemerintah,Kadin
11,D0073,2026,Konsultasi Pemerintah,Pemkot
12,D0056,2026,Konsultasi Industri,Kadin
13,D0017,2023,Konsultasi Industri,Kemendikbudristek
