id,tahun,sumber,jumlah_rupiah
1,2021,Bisnis Kampus,738000000
2,2021,Pelatihan & Sertifikasi,247000000
3,2021,Konsultasi,850000000
4,2021,Hibah Penelitian,288000000
5,2021,Kerjasama Industri,285000000
6,2021,Unit Usaha Kampus,393000000
7,2022,Bisnis Kampus,592920000
8,2022,Pelatihan & Sertifikasi,449280000
9,2022,Konsultasi,306720000
10,2022,Hibah Penelitian,284040000
11,2022,Kerjasama Industri,794880000
12,2022,Unit Usaha Kampus,448200000
13,2023,Bisnis Kampus,787640000
14,2023,Pelatihan & Sertifikasi,235480000
15,2023,Konsultasi,596240000
16,2023,Hibah Penelitian,454720000
17,2023,Kerjasama Industri,455880000
18,2023,Unit Usaha Kampus,367720000
19,2024,Bisnis Kampus,551800000
20,2024,Pelatihan & Sertifikasi,584040000
21,2024,Konsultasi,796080000
22,2024,Hibah Penelitian,757640000
23,2024,Kerjasama Industri,558000000
24,2024,Unit Usaha Kampus,720440000
25,2025,Bisnis Kampus,616440000
26,2025,Pelatihan & Sertifikasi,505560000
27,2025,Konsultasi,698280000
28,2025,Hibah Penelitian,769560000
29,2025,Kerjasama Industri,492360000
30,2025,Unit Usaha Kampus,319440000
31,2026,Bisnis Kampus,306600000
32,2026,Pelatihan & Sertifikasi,688800000
33,2026,Konsultasi,358400000
34,2026,Hibah Penelitian,581000000
35,2026,Kerjasama Industri,830200000
36,2026,Unit Usaha Kampus,1015000000
