program_id,year,year1_count,year2_count,rate
ACC,2021,87,74,0.853
ACC,2022,87,71,0.814
ACC,2023,87,79,0.905
ACC,2024,87,74,0.849
ACC,2025,87,71,0.813
ACC,2026,87,83,0.953
MGT,2021,102,92,0.901
MGT,2022,102,96,0.942
MGT,2023,102,87,0.851
MGT,2024,102,87,0.855
MGT,2025,102,83,0.816
MGT,2026,102,84,0.824
CS,2021,130,117,0.9
CS,2022,130,123,0.945
CS,2023,130,107,0.82
CS,2024,130,126,0.966
CS,2025,130,111,0.855
CS,2026,130,114,0.88
IS,2021,72,60,0.834
IS,2022,72,60,0.83
IS,2023,72,64,0.895
IS,2024,72,60,0.833
IS,2025,72,64,0.888
IS,2026,72,65,0.897
IE,2021,57,48,0.834
IE,2022,57,46,0.807
IE,2023,57,50,0.883
IE,2024,57,51,0.887
IE,2025,57,49,0.854
IE,2026,57,50,0.869
ME,2021,50,46,0.925
ME,2022,50,43,0.854
ME,2023,50,43,0.857
ME,2024,50,48,0.951
ME,2025,50,45,0.906
ME,2026,50,43,0.868
MTE,2021,35,31,0.891
MTE,2022,35,31,0.874
MTE,2023,35,31,0.888
MTE,2024,35,31,0.884
MTE,2025,35,29,0.815
MTE,2026,35,29,0.819
ELE,2021,42,35,0.833
ELE,2022,42,34,0.812
ELE,2023,42,38,0.893
ELE,2024,42,37,0.87
ELE,2025,42,35,0.841
ELE,2026,42,34,0.814
ELT,2021,30,25,0.833
ELT,2022,30,26,0.878
ELT,2023,30,26,0.851
ELT,2024,30,27,0.906
ELT,2025,30,27,0.896
ELT,2026,30,25,0.82
VCD,2021,78,75,0.962
VCD,2022,78,66,0.848
VCD,2023,78,73,0.931
VCD,2024,78,73,0.941
VCD,2025,78,66,0.848
VCD,2026,78,73,0.938
PSY,2021,93,90,0.969
PSY,2022,93,89,0.959
PSY,2023,93,79,0.848
PSY,2024,93,88,0.943
PSY,2025,93,83,0.889
PSY,2026,93,89,0.957
UND,2021,20,17,0.846
UND,2022,20,17,0.84
UND,2023,20,18,0.887
UND,2024,20,17,0.841
UND,2025,20,19,0.952
UND,2026,20,16,0.808
